sign,unicode
ʾu₄,𒀀
'u4,𒀀
a,𒀀
aia₂,𒀀
aia2,𒀀
aya₂,𒀀
aya2,𒀀
barₓ,𒌋
buniŋₓ,𒆹
burₓ,𒋲
dur₅,𒀀
dur5,𒀀
duru₅,𒀀
duru5,𒀀
e₄,𒀀
e4,𒀀
ea,𒀀
ebir₃,𒀀
ebir3,𒀀
emₓ,𒀀
epir₃,𒀀
epir3,𒀀
eš₁₀,𒀀
esz10,𒀀
ŋa₁₀,𒀀
ŋa10,𒀀
ia₁₀,𒀀
ia10,𒀀
id₅,𒀀
id5,𒀀
me₅,𒀀
me5,𒀀
mu₁₄,𒀀
mu14,𒀀
sedₓ,𒈹𒁲
šegₓ,𒍉
szegₓ,𒍉
ṭur₅,𒀀
"t,ur5",𒀀
ya₁₀,𒀀
ya10,𒀀
ai,𒀀𒀀
aia,𒀀𒀀
aya,𒀀𒀀
aye,𒀀𒀀
ayi,𒀀𒀀
ayu,𒀀𒀀
ayya,𒀀𒀀
ayye,𒀀𒀀
ayyi,𒀀𒀀
ayyu,𒀀𒀀
iya,𒀀𒀀
iyi,𒀀𒀀
iyu,𒀀𒀀
iyya,𒀀𒀀
iyyi,𒀀𒀀
iyyu,𒀀𒀀
yaₓ,𒌓𒉌
ayayaₓ,𒀀𒀀𒀀
a₄,𒀀𒀭
a4,𒀀𒀭
am₃,𒀀𒀭
am3,𒀀𒀭
še₇,𒀀𒀭
sze7,𒀀𒀭
šeg₃,𒀀𒀭
szeg3,𒀀𒀭
šeŋ₃,𒀀𒀭
szeŋ3,𒀀𒀭
šemₓ,𒉈
szemₓ,𒉈
a-ra₂,𒀀𒁺
a-ra2,𒀀𒁺
tuše,𒀀𒁺
tusze,𒀀𒁺
tuššuru,𒀀𒁺
tuszszuru,𒀀𒁺
eribₓ,𒊩𒌓
eru₄,𒀀𒂔
eru4,𒀀𒂔
erua,𒀀𒂔
erum₄,𒀀𒂔
erum4,𒀀𒂔
ummuₓ,𒀀𒂔𒇲
